Job_ID,Job Title ,Company,City ,State ,Salary Min ,Salary Max,Salary Mid ,SQL,Python,Tableau
1,"Data Analyst, Center on Immigration and Justice (CIJ)",Vera Institute of Justice,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
2,Quality Data Analyst,Visiting Nurse Service of New York,New York,NY,37000.0,66000.0,51500.0,1.0,0.0,0
3,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",Squarespace,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,1
4,Data Analyst,Celerity,New York,NY,37000.0,66000.0,51500.0,1.0,0.0,1
5,Reporting Data Analyst,FanDuel,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
6,Data Analyst,Point72,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
7,Business/Data Analyst (FP&A),Two Sigma,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
8,Data Science Analyst,GNY Insurance Companies,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
9,Data Analyst,DMGT,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
10,"Data Analyst, Merchant Health",Riskified,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
11,Data Analyst,NYU Langone Health,New York,NY,37000.0,66000.0,51500.0,0.0,0.0,0
12,Data Analyst,BulbHead,Fairfield,NJ,37000.0,66000.0,51500.0,1.0,1.0,1
13,DATA ANALYST,Montefiore Medical,New York,NY,37000.0,66000.0,51500.0,0.0,0.0,0
14,Senior Data Analyst,Known,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
15,Investment Advisory Data Analyst,Advisor Group,Jersey City,NJ,37000.0,66000.0,51500.0,1.0,0.0,0
16,Sustainability Data Analyst,CodeGreen Solutions,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
17,Data Analyst,Undertone,New York,NY,37000.0,66000.0,51500.0,1.0,0.0,1
18,Clinical Data Analyst,NYSTEC,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
19,DATA PROGRAMMER/ANALYST,"Education Development Center, Inc.",New York,NY,37000.0,66000.0,51500.0,0.0,1.0,0
20,Data Analyst,Teachers Pay Teachers,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
21,"Product Analyst, Data Science",Google,New York,NY,37000.0,66000.0,51500.0,1.0,0.0,0
22,Data Science Analyst,,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,1
23,Data Analyst - Intex Developer,Macquarie Group,New York,NY,37000.0,66000.0,51500.0,0.0,1.0,0
24,Data Analyst,Andiamo,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,1
25,Entry Level / Jr. Data Analyst,Dash Technologies Inc,New York,NY,37000.0,66000.0,51500.0,1.0,0.0,0
26,Data Analyst,Hearst Communications,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
27,Data + Business Intelligence Analyst,Duolingo,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,1
28,"Data Analyst, Product",Ro,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
29,Data Analyst Entry Level,Endai,New York,NY,37000.0,66000.0,51500.0,0.0,0.0,0
30,Data Analyst,BlueLabs,New York,NY,37000.0,66000.0,51500.0,1.0,1.0,0
31,Data Analyst,Revel,Brooklyn,NY,46000.0,87000.0,66500.0,1.0,1.0,0
32,Data Analyst,NALLAS CORPORATION,Jersey City,NJ,46000.0,87000.0,66500.0,0.0,0.0,0
33,Data Analyst,Pozent,New York,NY,46000.0,87000.0,66500.0,0.0,0.0,0
34,"Data Science Analyst, Capital Markets",SoFi,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
35,Data Analyst (Games),,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
36,Analyst/Associate Global Markets Credit Data Analyst,Bank of America,New York,NY,46000.0,87000.0,66500.0,0.0,0.0,1
37,Data Business Analyst,,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,0
38,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,Nutech Information Systems,New York,NY,46000.0,87000.0,66500.0,0.0,0.0,0
39,Data Science Analyst/Engineer,NYU Langone Health,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,0
40,Data Analyst,The Trevor Project,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
41,"Business Analyst, Data Platforms",,New York,NY,46000.0,87000.0,66500.0,1.0,0.0,1
42,Behavioral Data Analyst,,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,0
43,Data Analyst,Whip Media Group,New York,NY,46000.0,87000.0,66500.0,0.0,0.0,0
44,Data Analyst -1+ year Contract - NYC,Two95 International Inc.,New York,NY,46000.0,87000.0,66500.0,0.0,0.0,0
45,Data Analyst,Vettery,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,0
46,Data Analyst,"Nesco Resource, LLC",New York,NY,46000.0,87000.0,66500.0,1.0,0.0,0
47,Advertising Data Analyst,Hearst Communications,New York,NY,46000.0,87000.0,66500.0,1.0,0.0,1
48,Data Analyst,MediaMath,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,0
49,Market Data Reporting Analyst,Jordan & Jordan,New York,NY,46000.0,87000.0,66500.0,1.0,0.0,0
50,"Senior Analyst, Data Science",Roku,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
51,"Senior Data Analyst, Disney+",Walt Disney Co.,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
52,"Office of the CAO | Reference Data, Project Manager/Business Analyst",Citadel,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
53,Business Data Analyst,Xoriant Corporation,Jersey City,NJ,46000.0,87000.0,66500.0,1.0,0.0,1
54,Senior Data Analyst,Gemini,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,0
55,Data Scientist / Big Data Analytics Analyst,"TSR, Inc.",Weehawken,NJ,46000.0,87000.0,66500.0,0.0,1.0,1
56,Data Reporting Analyst,NADAP NYS INC.,New York,NY,46000.0,87000.0,66500.0,0.0,0.0,0
57,"Principal Data Analyst, LATAM - Disney Streaming Services",Walt Disney Co.,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
58,Data Analyst II,Fragomen Worldwide,New York,NY,46000.0,87000.0,66500.0,0.0,0.0,1
59,"Data Analyst - Environmental, Social, and Governance",Bloomberg,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
60,Data Analyst,Real Capital Analytics,New York,NY,46000.0,87000.0,66500.0,1.0,1.0,1
61,"Data Analyst, Revenue Analytics",Ro,New York,NY,51000.0,88000.0,69500.0,1.0,0.0,0
62,Data Analyst - Data Acquisition / Data Lineage,Perficient,New York,NY,51000.0,88000.0,69500.0,1.0,0.0,0
63,Data Analyst - Data Scanning utilizing Rochade,Perficient,New York,NY,51000.0,88000.0,69500.0,1.0,0.0,0
64,Data Analyst - Stitching,Perficient,New York,NY,51000.0,88000.0,69500.0,0.0,0.0,0
65,Junior Data Analyst,Kforce,New York,NY,51000.0,88000.0,69500.0,1.0,1.0,1
66,"Data Analyst, Retail Media",Criteo,New York,NY,51000.0,88000.0,69500.0,1.0,1.0,1
67,Data Analyst,Royal Communications,New York,NY,51000.0,88000.0,69500.0,1.0,0.0,0
68,Portfolio Data Analyst,Neuberger Berman,New York,NY,51000.0,88000.0,69500.0,0.0,0.0,1
69,Data Science Analyst,Greater New York Mutual Insurance Companies (GNY),New York,NY,51000.0,88000.0,69500.0,1.0,1.0,0
70,Data/Reporting Analyst,Diverse Lynx,New York,NY,51000.0,88000.0,69500.0,1.0,1.0,1
71,Data Analyst 2,eTeam Inc.,New York,NY,51000.0,88000.0,69500.0,1.0,0.0,0
72,Entry Level Data Analyst,impakt Advisors,New York,NY,51000.0,88000.0,69500.0,1.0,0.0,1
73,Marketing Data Analyst,Current,New York,NY,51000.0,88000.0,69500.0,1.0,1.0,0
74,Data/Information Mgt Analyst,Citi,New York,NY,51000.0,88000.0,69500.0,0.0,1.0,0
75,Business Data Analyst,Axelon Services Corporation,New York,NY,51000.0,88000.0,69500.0,1.0,1.0,0
76,Information Systems Officer (Data Analyst),United Nations,New York,NY,51000.0,88000.0,69500.0,1.0,1.0,1
77,Media Science Big Data Analyst,"Discovery Communications, Inc.",New York,NY,51000.0,88000.0,69500.0,1.0,1.0,1
78,Data Analyst,Randstad,Jersey City,NJ,51000.0,88000.0,69500.0,1.0,0.0,0
79,Data Analyst,Mulberry Technology,New York,NY,51000.0,88000.0,69500.0,1.0,1.0,1
